Make,Model,MSRP
Nissan,Versa,11990
Mitsubishi,Mirage,12995
Chevrolet,Spark,13000
Nissan,Versa,13680
Mitsubishi,Mirage G4,13995
Chevrolet,Spark,14100
Ford,Fiesta,14130
Nissan,Versa,14130
Kia,Rio,14165
Mitsubishi,Mirage,14195
Ford,Fiesta,14430
Mitsubishi,Mirage,14795
Chevrolet,Spark,14825
Chevrolet,Sonic,15145
Mitsubishi,Mirage G4,15195
Toyota,Yaris,15250
Ford,Fiesta,15360
Kia,Rio,15395
Nissan,Versa Note,15480
Kia,Rio,15495
Ford,Fiesta,15660
Nissan,Versa,15720
Chevrolet,Spark,15925
Toyota,Yaris iA,15950
FIAT,500,15990
Honda,Fit,15990
Mitsubishi,Mirage,15995
Toyota,Yaris,16000
Chevrolet,Spark,16325
Toyota,Yaris,16375
Nissan,Versa Note,16380
Chevrolet,Sonic,16395
Kia,Forte,16490
Mitsubishi,Mirage,16495
Ford,Focus,16775
Honda,Fit,16790
Toyota,Yaris,16910
Chevrolet,Cruze,16975
Nissan,Sentra,16990
Mitsubishi,Mirage G4,16995
Toyota,Yaris iA,17050
Hyundai,Elantra,17150
Toyota,Yaris,17200
Nissan,Versa,17280
Toyota,Yaris,17285
Chevrolet,Spark,17425
FIAT,500,17485
Kia,Forte,17500
Chevrolet,Sonic,17530
Chevrolet,Sonic,17580
Kia,Rio,17755
Mitsubishi,Lancer,17795
Mazda,3,17845
Volkswagen,Jetta,17895
Honda,Fit,17900
Kia,Rio,17905
Nissan,Versa Note,17980
Nissan,Sentra,17990
Toyota,Yaris,18000
Kia,Forte,18090
Hyundai,Elantra,18150
Hyundai,Elantra,18150
Chevrolet,Sonic,18170
Ford,Focus,18175
Nissan,Frontier,18390
Subaru,Impreza,18395
Toyota,Corolla,18500
Chevrolet,Cruze,18525
Honda,Fit,18700
Nissan,Versa Note,18710
Honda,Civic,18740
Toyota,Corolla iM,18750
Nissan,Sentra,18790
Mitsubishi,Lancer,18795
Hyundai,Elantra GT,18800
Mazda,3,18895
Subaru,Impreza,18895
Toyota,Corolla,18935
Chevrolet,Sonic,18970
Volkswagen,Jetta,18995
Mazda,3,19095
Ford,Fiesta,19120
Honda,Civic,19150
Kia,Forte,19200
Toyota,Corolla,19335
Honda,HR-V,19365
FIAT,500,19390
Subaru,Impreza,19395
Ford,Fiesta,19420
Toyota,Corolla iM,19490
Chevrolet,Cruze,19525
Honda,Civic,19540
Honda,Civic,19700
Chevrolet,Sonic,19720
Chevrolet,Sonic,19720
Ford,Focus,19765
Mitsubishi,Outlander Sport,19795
Hyundai,Elantra GT,19800
Volkswagen,Golf,19895
Subaru,Impreza,19895
Honda,Civic,19950
Mazda,CX-3,19960
Nissan,Sentra,19990
FIAT,500,19995
FIAT,500X,19995
Volkswagen,Beetle,19995
Mazda,3,20145
Chevrolet,Cruze,20150
Honda,HR-V,20165
Hyundai,Elantra,20250
Nissan,Juke,20250
Honda,Fit,20265
Mitsubishi,Lancer,20295
Chevrolet,Sonic,20415
Mazda,3,20445
Toyota,Corolla,20445
Volkswagen,Beetle,20475
Honda,Civic,20500
Honda,Civic,20540
Hyundai,Elantra,20650
FIAT,500,20885
Volkswagen,Jetta,20895
Kia,Rio,20905
Honda,Civic,20950
FIAT,500L,20995
Volkswagen,Golf,20995
Dodge,Journey,20995
Mitsubishi,Outlander Sport,20995
Chevrolet,Trax,21000
Buick,Verano,21065
Mitsubishi,Lancer,21095
Honda,Civic,21140
Ford,Focus,21175
Subaru,Impreza,21195
Kia,Forte,21200
Mazda,CX-3,21210
Chevrolet,Sonic,21215
Chevrolet,Cruze,21240
Honda,Fit,21265
Honda,Civic,21300
Toyota,Corolla,21300
Nissan,NV200,21330
Honda,HR-V,21415
Chevrolet,Cruze,21450
Honda,HR-V,21465
FIAT,500,21490
Mazda,3,21495
Honda,Civic,21500
Nissan,Sentra,21500
Volkswagen,Golf SportWagen,21580
Volkswagen,Golf,21595
Honda,Civic,21600
Hyundai,Sonata,21600
Hyundai,Sonata,21600
Ford,Fiesta,21610
Hyundai,Elantra,21650
Toyota,Corolla,21665
Ford,Focus,21675
Chevrolet,Malibu,21680
Subaru,Crosstrek,21695
Subaru,Impreza,21695
Toyota,Corolla,21825
Volkswagen,Beetle,21890
Toyota,Corolla,21900
Chevrolet,Cruze,21920
Mazda,6,21945
Hyundai,Sonata,21950
Hyundai,Sonata,21950
Mazda,CX-3,21960
Kia,Forte,21990
Nissan,Sentra,21990
Nissan,Sentra,21990
Chrysler,200,21995
